Type,Distribution Level,Amount,Description
I,Low,4000000,Local real estate developer seeking to diversify portfolio
I,Low,4500000,Tech entrepreneur looking for tangible investments
I,Low,5000000,Family office interested in long-term stable returns
I,Low,5500000,Private equity firm specializing in urban development
I,Low,6000000,Retired CEO investing personal wealth
I,Low,6500000,Foreign investment group exploring US market
I,Low,7000000,Consortium of local businesses supporting community growth
I,Low,7500000,Green energy fund investing in sustainable projects
I,Low,4000000,Angel investor network pooling resources
I,Low,4500000,Hospitality chain expanding into new markets
I,Low,5000000,Hedge fund diversifying into real estate
I,Low,5500000,Philanthropic foundation with focus on urban renewal
I,Low,6000000,Professional sports team owner branching into development
I,Low,6500000,Celebrity entrepreneur building personal brand
I,Low,7000000,Sovereign wealth fund seeking stable US investments
I,Low,7500000,Healthcare REIT expanding portfolio
I,Low,4000000,Crowdfunding platform aggregating small investors
I,Low,4500000,University endowment fund diversifying investments
I,Low,5000000,Insurance company investing surplus funds
I,Low,5500000,Venture capital firm exploring built environment tech
I,Medium,8000000,Major bank's real estate investment arm
I,Medium,8500000,International construction conglomerate
I,Medium,9000000,Tech giant investing in smart city initiatives
I,Medium,9500000,National pension fund seeking long-term stable returns
I,Medium,10000000,Luxury goods company expanding into branded residences
I,Medium,8000000,Energy company diversifying into real estate
I,Medium,8500000,Automotive manufacturer investing in future mobility hubs
I,Medium,9000000,Media conglomerate creating entertainment districts
I,Medium,9500000,Aerospace company developing vertiport infrastructure
I,Medium,10000000,E-commerce giant investing in logistics real estate
I,Medium,8000000,Global hotel chain funding mixed-use developments
I,Medium,8500000,Social media company creating collaborative workspaces
I,High,10500000,Major league sports association developing sports districts
I,High,11000000,Global investment bank's real estate fund
I,High,11500000,International airport operator expanding commercial holdings
I,High,12000000,Multinational tech consortium building smart city
I,High,10500000,National railway company developing transit-oriented projects
I,High,11000000,Global theme park operator expanding into urban entertainment
I,High,11500000,International expo committee funding legacy project
