Type,Card Name,Distribution Level,Amount,Loan Percentage Cost,Effect
B,Small Business Loan,Low,500000,5,Low interest loan for initial funding
B,Startup Capital Loan,Low,600000,5,Low interest loan for initial project expenses
B,New Venture Loan,Low,700000,5,Low interest loan for growing projects
B,Small Building Fund,Low,800000,5,Low interest loan for small construction projects
B,Retail Space Loan,Low,900000,5,Low interest loan for retail development
B,Office Project Loan,Low,1000000,5,Low interest loan for office renovation
B,Residential Renovation Loan,Low,1100000,5,Low interest loan for residential renovation
B,Commercial Space Loan,Low,1200000,5,Low interest loan for commercial properties
B,Small Multifamily Loan,Low,1300000,5,Low interest loan for small multifamily projects
B,Mixed-Use Development Loan,Low,1400000,5,Low interest loan for mixed-use development
B,Community Bank Loan,Low,500000,5,Low interest loan from community bank
B,Local Developer Funding,Low,600000,5,Low interest loan from local development group
B,Family Office Investment,Low,700000,5,Low interest funding from family office
B,Private Lender Loan,Low,800000,5,Low interest financing from private lender
B,Small Business Administration Loan,Low,900000,5,Low interest SBA backed loan
B,Local Credit Union Financing,Low,1000000,5,Low interest credit union loan
B,Regional Bank Loan,Low,1100000,5,Low interest regional bank financing
B,Project Seed Funding,Low,1200000,5,Low interest early project funding
B,Hometown Bank Loan,Low,1300000,5,Low interest hometown bank loan
B,Neighborhood Development Loan,Low,1400000,5,Low interest neighborhood development financing
B,Facade Improvement Loan,Low,500000,5,Low interest loan for building facade updates
B,Historic Preservation Loan,Low,600000,5,Low interest historic building renovation loan
B,Green Building Incentive Loan,Low,700000,5,Low interest loan for sustainable building features
B,Brownfield Redevelopment Loan,Low,800000,5,Low interest loan for brownfield site cleanup and development
B,Main Street Revitalization Loan,Low,900000,5,Low interest loan for main street property improvements
B,Urban Infill Development Loan,Low,1000000,5,Low interest loan for urban infill projects
B,Affordable Housing Loan,Low,1100000,5,Low interest loan for affordable housing components
B,Mixed-Income Development Loan,Low,1200000,5,Low interest loan for mixed-income projects
B,Transit-Oriented Development Loan,Low,1300000,5,Low interest loan for transit-adjacent development
B,Adaptive Reuse Loan,Low,1400000,5,Low interest loan for adaptive reuse projects
B,Mid-Size Development Loan,Medium,1500000,10,Medium interest loan for larger development projects
B,Commercial Construction Loan,Medium,1750000,10,Medium interest loan for commercial construction
B,Mid-Market Office Loan,Medium,2000000,10,Medium interest loan for office building development
B,Community Center Financing,Medium,2250000,10,Medium interest loan for community center construction
B,Mid-Size Retail Complex Loan,Medium,2500000,10,Medium interest loan for retail development
B,Multifamily Housing Loan,Medium,2750000,10,Medium interest loan for multifamily housing
B,Class B Office Renovation Loan,Medium,1500000,10,Medium interest loan for Class B office renovation
B,Mid-Market Hotel Loan,Medium,1750000,10,Medium interest loan for hotel development
B,Medical Office Building Loan,Medium,2000000,10,Medium interest loan for medical office space
B,Professional Office Building Loan,Medium,2250000,10,Medium interest loan for professional offices
B,Shopping Plaza Loan,Medium,2500000,10,Medium interest loan for shopping plaza development
B,Restaurant Development Loan,Medium,2750000,10,Medium interest loan for restaurant space
B,Warehouse Conversion Loan,Medium,1500000,10,Medium interest loan for warehouse conversions
B,Industrial Park Loan,Medium,1750000,10,Medium interest loan for industrial park development
B,Entertainment Venue Loan,Medium,2000000,10,Medium interest loan for entertainment venues
B,Sports Facility Loan,Medium,2250000,10,Medium interest loan for sports facilities
B,Assisted Living Facility Loan,Medium,2500000,10,Medium interest loan for assisted living development
B,Education Building Loan,Medium,2750000,10,Medium interest loan for educational facilities
B,Cultural Center Loan,Medium,1500000,10,Medium interest loan for cultural centers
B,Tourism Development Loan,Medium,1750000,10,Medium interest loan for tourism-related projects
B,Major Project Financing,High,3000000,15,High interest loan for major development projects
B,Luxury Development Loan,High,3250000,15,High interest loan for luxury real estate development
B,Class A Office Building Loan,High,3500000,15,High interest loan for Class A office construction
B,Mixed-Use Tower Financing,High,3750000,15,High interest loan for high-rise mixed-use development
B,Urban Mega-Project Loan,High,4000000,15,High interest loan for urban mega-projects
B,High-Rise Condominium Loan,High,3000000,15,High interest loan for high-rise condominiums
B,Major Retail Development Loan,High,3250000,15,High interest loan for major retail centers
B,Convention Center Loan,High,3500000,15,High interest loan for convention center development
B,Airport Expansion Loan,High,3750000,15,High interest loan for airport-related development
B,Stadium Development Loan,High,4000000,15,High interest loan for stadium projects
